Academic Year,Term,Level of Statistics,School,Dept,Course Group,Course No,Section,Course Code,Section Code,Survey Name,Instructor's Name,Instructor's ITSC,Enrolment,Response Rate,Low Response Rate Indicator,Response Rate (Adjusted),Number of Sections Evaluated,Course Overall - Mean,Course Overall - Mean (Adjusted),Course Overall - SD,Course Overall -  SD (Adjusted),Instructor Overall - Mean,Instructor Overall - Mean (Adjusted),Instructor Overall - SD,Instructor Overall - SD (Adjusted)
19-20,SPRING,School,SHSS,-,-,-,-,-,-,-,-,-,-,0.429,,-,105,80.3,-,22.4,-,84.1,-,21.4,-
19-20,SPRING,Dept / Course Group,SHSS,SSMA,-,-,-,-,-,-,-,-,-,0.764,,-,5,92.8,-,12.5,-,94.4,-,11.7,-
19-20,SPRING,Dept / Course Group,SHSS,HUMA,-,-,-,-,-,-,-,-,-,0.426,,-,42,79.2,-,21.9,-,84.6,-,20,-
19-20,SPRING,Dept / Course Group,SHSS,HMMA,-,-,-,-,-,-,-,-,-,0.385,Y,-,2,87.5,-,17.2,-,90,-,15,-
19-20,SPRING,Dept / Course Group,SHSS,MGCS,-,-,-,-,-,-,-,-,-,0.686,,-,4,85.7,-,23.7,-,88.4,-,24.4,-
19-20,SPRING,Dept / Course Group,SHSS,MILE,-,-,-,-,-,-,-,-,-,0.729,,-,12,83.3,-,19.3,-,85.9,-,18.6,-
19-20,SPRING,Dept / Course Group,SHSS,HSS,-,-,-,-,-,-,-,-,-,0.25,Y,-,1,100.0,-,0.0,-,100,-,0,-
19-20,SPRING,Dept / Course Group,SHSS,SOSC,-,-,-,-,-,-,-,-,-,0.362,,-,32,78.7,-,23.9,-,81.3,-,23.9,-
19-20,SPRING,Dept / Course Group,SHSS,HART,-,-,-,-,-,-,-,-,-,0.558,,-,7,79.5,-,23.0,-,81.3,-,22.8,-
19-20,SPRING,Course,SHSS,SSMA,SSMA,5030,-,19-20-SPRING-SSMA-5030,-,-,-,-,-,0.766,,0.723,1,93.1,94.1,12.8,10.8,92.4,94.1,15.6,10.8
19-20,SPRING,Section,SHSS,SSMA,SSMA,5030,L1,19-20-SPRING-SSMA-5030,19-20-SPRING-SSMA-5030-L1,-,-,-,47,0.766,,0.723,-,93.1,94.1,12.8,10.8,92.4,94.1,15.6,10.8
19-20,SPRING,Instructor,SHSS,SSMA,SSMA,5030,L1,19-20-SPRING-SSMA-5030,19-20-SPRING-SSMA-5030-L1,19-20-SPRING-SSMA-5030-L1-SI,"WU, Xiaogang",sowu,47,0.766,,0.723,-,93.1,94.1,12.8,10.8,92.4,94.1,15.6,10.8
19-20,SPRING,Course,SHSS,SSMA,SSMA,5060,-,19-20-SPRING-SSMA-5060,-,-,-,-,-,0.733,,0.667,1,94.3,96.3,13.2,9.2,97.7,98.8,7.4,5.6
19-20,SPRING,Section,SHSS,SSMA,SSMA,5060,L1,19-20-SPRING-SSMA-5060,19-20-SPRING-SSMA-5060-L1,-,-,-,30,0.733,,0.667,-,94.3,96.3,13.2,9.2,97.7,98.8,7.4,5.6
19-20,SPRING,Instructor,SHSS,SSMA,SSMA,5060,L1,19-20-SPRING-SSMA-5060,19-20-SPRING-SSMA-5060-L1,19-20-SPRING-SSMA-5060-L1-SI,"CAI, Yongshun",socai,30,0.733,,0.667,-,94.3,96.3,13.2,9.2,97.7,98.8,7.4,5.6
19-20,SPRING,Course,SHSS,SSMA,SSMA,5180,-,19-20-SPRING-SSMA-5180,-,-,-,-,-,0.8,,0.75,1,90.6,90.8,12.3,12.3,93,93.3,11.4,11.2
19-20,SPRING,Section,SHSS,SSMA,SSMA,5180,L1,19-20-SPRING-SSMA-5180,19-20-SPRING-SSMA-5180-L1,-,-,-,40,0.8,,0.75,-,90.6,90.8,12.3,12.3,93,93.3,11.4,11.2
19-20,SPRING,Instructor,SHSS,SSMA,SSMA,5180,L1,19-20-SPRING-SSMA-5180,19-20-SPRING-SSMA-5180-L1,19-20-SPRING-SSMA-5180-L1-SI,"MA, John Z",sojohnma,40,0.8,,0.75,-,90.6,90.8,12.3,12.3,93,93.3,11.4,11.2
19-20,SPRING,Course,SHSS,SSMA,SSMA,5210,-,19-20-SPRING-SSMA-5210,-,-,-,-,-,0.75,,0.667,1,87.5,89.1,15.5,12.8,91.7,92.2,12.1,12
19-20,SPRING,Section,SHSS,SSMA,SSMA,5210,L1,19-20-SPRING-SSMA-5210,19-20-SPRING-SSMA-5210-L1,-,-,-,24,0.75,,0.667,-,87.5,89.1,15.5,12.8,91.7,92.2,12.1,12
19-20,SPRING,Instructor,SHSS,SSMA,SSMA,5210,L1,19-20-SPRING-SSMA-5210,19-20-SPRING-SSMA-5210-L1,19-20-SPRING-SSMA-5210-L1-SI,"HAN, Li",lihan,24,0.75,,0.667,-,87.5,89.1,15.5,12.8,91.7,92.2,12.1,12
19-20,SPRING,Course,SHSS,SSMA,SSMA,5220,-,19-20-SPRING-SSMA-5220,-,-,-,-,-,0.756,,0.707,1,96.8,97.4,8.5,7.7,97.6,98.3,7.5,6.4
19-20,SPRING,Section,SHSS,SSMA,SSMA,5220,L1,19-20-SPRING-SSMA-5220,19-20-SPRING-SSMA-5220-L1,-,-,-,41,0.756,,0.707,-,96.8,97.4,8.5,7.7,97.6,98.3,7.5,6.4
19-20,SPRING,Instructor,SHSS,SSMA,SSMA,5220,L1,19-20-SPRING-SSMA-5220,19-20-SPRING-SSMA-5220-L1,19-20-SPRING-SSMA-5220-L1-SI,"TAM, Kim Pong",kevintam,41,0.756,,0.707,-,96.8,97.4,8.5,7.7,97.6,98.3,7.5,6.4
19-20,SPRING,Course,SHSS,HUMA,HUMA,1000A,-,19-20-SPRING-HUMA-1000A,-,-,-,-,-,0.354,,0.338,1,74.1,74.8,21.6,19.8,82.2,83.1,18.9,17
19-20,SPRING,Section,SHSS,HUMA,HUMA,1000A,L1,19-20-SPRING-HUMA-1000A,19-20-SPRING-HUMA-1000A-L1,-,-,-,393,0.354,,0.338,-,74.1,74.8,21.6,19.8,82.2,83.1,18.9,17
19-20,SPRING,Instructor,SHSS,HUMA,HUMA,1000A,L1,19-20-SPRING-HUMA-1000A,19-20-SPRING-HUMA-1000A-L1,19-20-SPRING-HUMA-1000A-L1-SI1,"PAN, Ping",hmpanping,393,0.354,,0.338,-,74.1,74.8,21.6,19.8,82.2,83.1,18.9,17
19-20,SPRING,Course,SHSS,HUMA,HUMA,1000B,-,19-20-SPRING-HUMA-1000B,-,-,-,-,-,0.338,,0.323,1,76.7,77.7,22.5,20.1,85.4,86.6,19.6,16.8
19-20,SPRING,Section,SHSS,HUMA,HUMA,1000B,L1,19-20-SPRING-HUMA-1000B,19-20-SPRING-HUMA-1000B-L1,-,-,-,399,0.338,,0.323,-,76.7,77.7,22.5,20.1,85.4,86.6,19.6,16.8
19-20,SPRING,Instructor,SHSS,HUMA,HUMA,1000B,L1,19-20-SPRING-HUMA-1000B,19-20-SPRING-HUMA-1000B-L1,19-20-SPRING-HUMA-1000B-L1-SI2,"NAM, Sai Lok",shlewis,399,0.338,,0.323,-,76.7,77.7,22.5,20.1,85.4,86.6,19.6,16.8
19-20,SPRING,Course,SHSS,HUMA,HUMA,1000F,-,19-20-SPRING-HUMA-1000F,-,-,-,-,-,0.385,,0.368,1,64.3,64.9,24.0,21.9,70,70.7,23.7,21.9
19-20,SPRING,Section,SHSS,HUMA,HUMA,1000F,L1,19-20-SPRING-HUMA-1000F,19-20-SPRING-HUMA-1000F-L1,-,-,-,364,0.385,,0.368,-,64.3,64.9,24.0,21.9,70,70.7,23.7,21.9
19-20,SPRING,Instructor,SHSS,HUMA,HUMA,1000F,L1,19-20-SPRING-HUMA-1000F,19-20-SPRING-HUMA-1000F-L1,19-20-SPRING-HUMA-1000F-L1-SI2,"WU, Shengqing",hmswu,364,0.385,,0.368,-,64.3,64.9,24.0,21.9,70,70.7,23.7,21.9
19-20,SPRING,Course,SHSS,HUMA,HUMA,1001B,-,19-20-SPRING-HUMA-1001B,-,-,-,-,-,0.449,,-,1,72.5,-,21.8,-,81.3,-,18.6,-
19-20,SPRING,Section,SHSS,HUMA,HUMA,1001B,L1,19-20-SPRING-HUMA-1001B,19-20-SPRING-HUMA-1001B-L1,-,-,-,89,0.449,,-,-,72.5,-,21.8,-,81.3,-,18.6,-
19-20,SPRING,Instructor,SHSS,HUMA,HUMA,1001B,L1,19-20-SPRING-HUMA-1001B,19-20-SPRING-HUMA-1001B-L1,19-20-SPRING-HUMA-1001B-L1-SI1,"CHAN, Charles Wing Hoi",hmwhchan,89,0.449,,0.427,-,72.5,73,21.8,20.5,81.3,82.2,18.6,16.3
19-20,SPRING,Course,SHSS,HUMA,HUMA,1060,-,19-20-SPRING-HUMA-1060,-,-,-,-,-,0.316,,-,1,79.8,-,22.7,-,83.9,-,26.3,-
19-20,SPRING,Section,SHSS,HUMA,HUMA,1060,L1,19-20-SPRING-HUMA-1060,19-20-SPRING-HUMA-1060-L1,-,-,-,98,0.316,,-,-,79.8,-,22.7,-,83.9,-,26.3,-
