Academic Year,Term,Level of Statistics,School,Dept,Course Group,Course No,Section,Course Code,Section Code,Survey Name,Instructor's Name,Instructor's ITSC,Enrolment,Response Rate,Low Response Rate Indicator,Response Rate (Adjusted),Number of Sections Evaluated,Course Overall - Mean,Course Overall - Mean (Adjusted),Course Overall - SD,Course Overall -  SD (Adjusted),Instructor Overall - Mean,Instructor Overall - Mean (Adjusted),Instructor Overall - SD,Instructor Overall - SD (Adjusted)
18-19,SUMMER,School,SENG,-,-,-,-,-,-,-,-,-,-,0.388,,-,16,84.6,-,19.2,-,88.7,-,17.6,-
18-19,SUMMER,Dept / Course Group,SENG,CENG,-,-,-,-,-,-,-,-,-,0.386,Y,-,1,89.8,-,14.8,-,92,-,14.2,-
18-19,SUMMER,Dept / Course Group,SENG,CIVL,-,-,-,-,-,-,-,-,-,0.332,,-,4,86.1,-,17.4,-,90.2,-,16,-
18-19,SUMMER,Dept / Course Group,SENG,COMP,-,-,-,-,-,-,-,-,-,0.41,,-,6,81.5,-,21.8,-,87.2,-,23.4,-
18-19,SUMMER,Dept / Course Group,SENG,ELEC,-,-,-,-,-,-,-,-,-,0.154,Y,-,1,87.5,-,14.4,-,81.3,-,12.5,-
18-19,SUMMER,Dept / Course Group,SENG,ENGG,-,-,-,-,-,-,-,-,-,0.581,,-,4,86.7,-,17,-,87.2,-,14.9,-
18-19,SUMMER,Course,SENG,CENG,CENG,1800,-,18-19-SUMMER-CENG-1800,-,-,-,-,-,0.386,Y,0.351,1,89.8,91.3,14.8,12.2,92,93.8,14.2,11.1
18-19,SUMMER,Section,SENG,CENG,CENG,1800,L1,18-19-SUMMER-CENG-1800,18-19-SUMMER-CENG-1800-L1,-,-,-,57,0.386,Y,0.351,-,89.8,91.3,14.8,12.2,92,93.8,14.2,11.1
18-19,SUMMER,Instructor,SENG,CENG,CENG,1800,L1,18-19-SUMMER-CENG-1800,18-19-SUMMER-CENG-1800-L1,18-19-SUMMER-CENG-1800-L1-SI,LIU Yuan Shuai,keysliu,57,0.386,Y,0.351,-,89.8,91.3,14.8,12.2,92,93.8,14.2,11.1
18-19,SUMMER,Course,SENG,CIVL,CIVL,1160,-,18-19-SUMMER-CIVL-1160,-,-,-,-,-,0.368,,-,1,86.8,-,17.1,-,91.7,-,14.4,-
18-19,SUMMER,Section,SENG,CIVL,CIVL,1160,L1,18-19-SUMMER-CIVL-1160,18-19-SUMMER-CIVL-1160-L1,-,-,-,155,0.368,,-,-,86.8,-,17.1,-,91.7,-,14.4,-
18-19,SUMMER,Instructor,SENG,CIVL,CIVL,1160,L1,18-19-SUMMER-CIVL-1160,18-19-SUMMER-CIVL-1160-L1,18-19-SUMMER-CIVL-1160-L1-SI,"HU, Wei Chung",thomashu,155,0.368,,0.355,-,86.8,87.7,17.1,15.1,91.7,92.3,14.4,13.5
18-19,SUMMER,Course,SENG,CIVL,CIVL,2020,-,18-19-SUMMER-CIVL-2020,-,-,-,-,-,0.188,Y,0.063,1,66.7,75,14.4,0,58.3,50,14.4,0
18-19,SUMMER,Section,SENG,CIVL,CIVL,2020,L1,18-19-SUMMER-CIVL-2020,18-19-SUMMER-CIVL-2020-L1,-,-,-,16,0.188,Y,0.063,-,66.7,75,14.4,0,58.3,50,14.4,0
18-19,SUMMER,Instructor,SENG,CIVL,CIVL,2020,L1,18-19-SUMMER-CIVL-2020,18-19-SUMMER-CIVL-2020-L1,18-19-SUMMER-CIVL-2020-L1-SN,,,16,0.188,Y,0.063,-,66.7,75,14.4,0,58.3,50,14.4,0
18-19,SUMMER,Course,SENG,CIVL,CIVL,6050R,-,18-19-SUMMER-CIVL-6050R,-,-,-,-,-,0.125,Y,-,1,100,-,0,-,100,-,0,-
18-19,SUMMER,Section,SENG,CIVL,CIVL,6050R,L1,18-19-SUMMER-CIVL-6050R,18-19-SUMMER-CIVL-6050R-L1,-,-,-,8,0.125,Y,-,-,100,-,0,-,100,-,0,-
18-19,SUMMER,Instructor,SENG,CIVL,CIVL,6050R,L1,18-19-SUMMER-CIVL-6050R,18-19-SUMMER-CIVL-6050R-L1,18-19-SUMMER-CIVL-6050R-L1-SN,,,8,0.125,Y,-,-,100,-,0,-,100,-,0,-
18-19,SUMMER,Course,SENG,CIVL,CIVL,6060Y,-,18-19-SUMMER-CIVL-6060Y,-,-,-,-,-,0.0,Y,-,1,-,-,-,-,-,-,-,-
18-19,SUMMER,Section,SENG,CIVL,CIVL,6060Y,L1,18-19-SUMMER-CIVL-6060Y,18-19-SUMMER-CIVL-6060Y-L1,-,-,-,5,0.0,Y,-,-,-,-,-,-,-,-,-,-
18-19,SUMMER,Instructor,SENG,CIVL,CIVL,6060Y,L1,18-19-SUMMER-CIVL-6060Y,18-19-SUMMER-CIVL-6060Y-L1,18-19-SUMMER-CIVL-6060Y-L1-SN,,,5,0.0,Y,-,-,-,-,-,-,-,-,-,-
18-19,SUMMER,Course,SENG,COMP,COMP,1022P,-,18-19-SUMMER-COMP-1022P,-,-,-,-,-,0.463,Y,0.415,1,89.5,92.6,20.9,14.7,86.8,91.2,25.5,15.2
18-19,SUMMER,Section,SENG,COMP,COMP,1022P,L1,18-19-SUMMER-COMP-1022P,18-19-SUMMER-COMP-1022P-L1,-,-,-,19,0.463,Y,0.415,-,89.5,92.6,20.9,14.7,86.8,91.2,25.5,15.2
18-19,SUMMER,Instructor,SENG,COMP,COMP,1022P,L1,18-19-SUMMER-COMP-1022P,18-19-SUMMER-COMP-1022P-L1,18-19-SUMMER-COMP-1022P-L1-SI,"PONG, Ting Chuen",tcpong,19,0.463,Y,0.415,-,89.5,92.6,20.9,14.7,86.8,91.2,25.5,15.2
18-19,SUMMER,Course,SENG,COMP,COMP,1029C,-,18-19-SUMMER-COMP-1029C,-,-,-,-,-,0.326,Y,0.283,1,71.7,71.2,12.9,9.4,-,-,-,-
18-19,SUMMER,Section,SENG,COMP,COMP,1029C,L1,18-19-SUMMER-COMP-1029C,18-19-SUMMER-COMP-1029C-L1,-,-,-,46,0.326,Y,0.283,-,71.7,71.2,12.9,9.4,-,-,-,-
18-19,SUMMER,Instructor,SENG,COMP,COMP,1029C,L1,18-19-SUMMER-COMP-1029C,18-19-SUMMER-COMP-1029C-L1,18-19-SUMMER-COMP-1029C-L1-SI,"LAM, Gibson",gibson,46,0.326,Y,0.283,-,71.7,71.2,12.9,9.4,-,-,-,-
18-19,SUMMER,Course,SENG,COMP,COMP,1029J,-,18-19-SUMMER-COMP-1029J,-,-,-,-,-,0.167,Y,0.125,1,81.3,79.2,11.6,10.2,-,-,-,-
18-19,SUMMER,Section,SENG,COMP,COMP,1029J,L1,18-19-SUMMER-COMP-1029J,18-19-SUMMER-COMP-1029J-L1,-,-,-,41,0.167,Y,0.125,-,81.3,79.2,11.6,10.2,-,-,-,-
