Academic Year,Term,Level of Statistics,School,Dept,Course Group,Course No,Section,Course Code,Section Code,Survey Name,Instructor's Name,Instructor's ITSC,Enrolment,Response Rate,Low Response Rate Indicator,Response Rate (Adjusted),Number of Sections Evaluated,Course Overall - Mean,Course Overall - Mean (Adjusted),Course Overall - SD,Course Overall -  SD (Adjusted),Instructor Overall - Mean,Instructor Overall - Mean (Adjusted),Instructor Overall - SD,Instructor Overall - SD (Adjusted)
22-23,SPRING,School,SSCI,-,-,-,-,-,-,-,-,-,-,0.463,,-,228,3.94,-,1.0,-,4.07,-,0.92,-
22-23,SPRING,Dept / Course Group,SSCI,CHMS,-,-,-,-,-,-,-,-,-,0.582,,-,6,4.11,-,1.03,-,4.21,-,1.01,-
22-23,SPRING,Dept / Course Group,SSCI,BIBU-SSCI,-,-,-,-,-,-,-,-,-,0.216,Y,-,1,3.75,-,1.49,-,4.38,-,0.74,-
22-23,SPRING,Dept / Course Group,SSCI,CHEM,-,-,-,-,-,-,-,-,-,0.485,,-,44,3.86,-,0.95,-,3.91,-,0.92,-
22-23,SPRING,Dept / Course Group,SSCI,DASC,-,-,-,-,-,-,-,-,-,0.481,,-,3,3.35,-,1.2,-,3.57,-,1.15,-
22-23,SPRING,Dept / Course Group,SSCI,ENTR-SSCI,-,-,-,-,-,-,-,-,-,0.388,Y,-,2,4.42,-,0.84,-,4.26,-,0.99,-
22-23,SPRING,Dept / Course Group,SSCI,LIFS,-,-,-,-,-,-,-,-,-,0.442,,-,28,4.01,-,0.84,-,4.18,-,0.86,-
22-23,SPRING,Dept / Course Group,SSCI,MAED,-,-,-,-,-,-,-,-,-,0.623,,-,6,4.59,-,0.7,-,4.61,-,0.69,-
22-23,SPRING,Dept / Course Group,SSCI,MSDM,-,-,-,-,-,-,-,-,-,0.555,,-,6,4.15,-,0.95,-,4.34,-,0.79,-
22-23,SPRING,Dept / Course Group,SSCI,MATH,-,-,-,-,-,-,-,-,-,0.421,,-,58,3.78,-,1.11,-,3.99,-,1.01,-
22-23,SPRING,Dept / Course Group,SSCI,NANO,-,-,-,-,-,-,-,-,-,0.682,,-,2,4.53,-,0.92,-,4.48,-,0.87,-
22-23,SPRING,Dept / Course Group,SSCI,OCES,-,-,-,-,-,-,-,-,-,0.519,,-,22,4.02,-,0.86,-,4.01,-,0.83,-
22-23,SPRING,Dept / Course Group,SSCI,PHYS,-,-,-,-,-,-,-,-,-,0.475,,-,35,3.87,-,1.0,-,4.05,-,0.94,-
22-23,SPRING,Dept / Course Group,SSCI,SCIE,-,-,-,-,-,-,-,-,-,0.447,,-,5,4.1,-,0.91,-,4.11,-,0.98,-
22-23,SPRING,Dept / Course Group,SSCI,CSIC,-,-,-,-,-,-,-,-,-,0.688,Y,-,1,4.73,-,0.47,-,4.82,-,0.4,-
22-23,SPRING,Dept / Course Group,SSCI,MAFS,-,-,-,-,-,-,-,-,-,0.368,,-,9,4.59,-,0.68,-,4.6,-,0.68,-
22-23,SPRING,Course,SSCI,CHMS,CHMS,5050,-,22-23-SPRING-CHMS-5050,-,-,-,-,-,0.62,,0.592,1,3.5,3.52,1.17,1.11,3.41,3.43,1.28,1.23
22-23,SPRING,Section,SSCI,CHMS,CHMS,5050,L1,22-23-SPRING-CHMS-5050,22-23-SPRING-CHMS-5050-L1,-,-,-,71,0.62,,0.592,-,3.5,3.52,1.17,1.11,3.41,3.43,1.28,1.23
22-23,SPRING,Instructor,SSCI,CHMS,CHMS,5050,L1,22-23-SPRING-CHMS-5050,22-23-SPRING-CHMS-5050-L1,22-23-SPRING-CHMS-5050-L1-SI,"NAGL, Stefan",chnagl,71,0.62,,0.592,-,3.5,3.52,1.17,1.11,3.41,3.43,1.28,1.23
22-23,SPRING,Course,SSCI,CHMS,CHMS,5111,-,22-23-SPRING-CHMS-5111,-,-,-,-,-,0.37,Y,0.296,1,3.7,3.88,1.57,1.36,3.1,3.13,1.85,1.81
22-23,SPRING,Section,SSCI,CHMS,CHMS,5111,L1,22-23-SPRING-CHMS-5111,22-23-SPRING-CHMS-5111-L1,-,-,-,27,0.37,Y,0.296,-,3.7,3.88,1.57,1.36,3.1,3.13,1.85,1.81
22-23,SPRING,Instructor,SSCI,CHMS,CHMS,5111,L1,22-23-SPRING-CHMS-5111,22-23-SPRING-CHMS-5111-L1,22-23-SPRING-CHMS-5111-L1-SI,"NAGL, Stefan",chnagl,27,0.37,Y,0.296,-,3.7,3.88,1.57,1.36,3.1,3.13,1.85,1.81
22-23,SPRING,Course,SSCI,CHMS,CHMS,5112,-,22-23-SPRING-CHMS-5112,-,-,-,-,-,0.594,,-,1,4.2,-,0.87,-,4.27,-,0.75,-
22-23,SPRING,Section,SSCI,CHMS,CHMS,5112,L1,22-23-SPRING-CHMS-5112,22-23-SPRING-CHMS-5112-L1,-,-,-,69,0.594,,-,-,4.2,-,0.87,-,4.27,-,0.75,-
22-23,SPRING,Instructor,SSCI,CHMS,CHMS,5112,L1,22-23-SPRING-CHMS-5112,22-23-SPRING-CHMS-5112-L1,22-23-SPRING-CHMS-5112-L1-SI,"CHAN, Simon Wan",chanwan,69,0.594,,0.565,-,4.2,4.23,0.87,0.81,4.34,4.36,0.69,0.67
22-23,SPRING,Instructor,SSCI,CHMS,CHMS,5112,L1,22-23-SPRING-CHMS-5112,22-23-SPRING-CHMS-5112-L1,22-23-SPRING-CHMS-5112-L1-SI,"GUO, Zhihong",chguo,69,0.594,,0.565,-,4.2,4.23,0.87,0.81,4.2,4.23,0.81,0.74
22-23,SPRING,Course,SSCI,CHMS,CHMS,5120,-,22-23-SPRING-CHMS-5120,-,-,-,-,-,0.583,,-,1,4.45,-,0.77,-,4.61,-,0.74,-
22-23,SPRING,Section,SSCI,CHMS,CHMS,5120,L1,22-23-SPRING-CHMS-5120,22-23-SPRING-CHMS-5120-L1,-,-,-,72,0.583,,-,-,4.45,-,0.77,-,4.61,-,0.74,-
22-23,SPRING,Instructor,SSCI,CHMS,CHMS,5120,L1,22-23-SPRING-CHMS-5120,22-23-SPRING-CHMS-5120-L1,22-23-SPRING-CHMS-5120-L1-SI,"LI, Tin Lok",litla,72,0.583,,0.556,-,4.45,4.5,0.77,0.68,4.62,4.7,0.79,0.56
22-23,SPRING,Instructor,SSCI,CHMS,CHMS,5120,L1,22-23-SPRING-CHMS-5120,22-23-SPRING-CHMS-5120-L1,22-23-SPRING-CHMS-5120-L1-SI,"TSANG, Ming Wai Emily",chetsang,72,0.583,,0.556,-,4.45,4.5,0.77,0.68,4.6,4.63,0.7,0.67
22-23,SPRING,Course,SSCI,CHMS,CHMS,5130,-,22-23-SPRING-CHMS-5130,-,-,-,-,-,0.638,,-,1,3.8,-,1.06,-,4.07,-,0.94,-
22-23,SPRING,Section,SSCI,CHMS,CHMS,5130,L1,22-23-SPRING-CHMS-5130,22-23-SPRING-CHMS-5130-L1,-,-,-,47,0.638,,-,-,3.8,-,1.06,-,4.07,-,0.94,-
22-23,SPRING,Instructor,SSCI,CHMS,CHMS,5130,L1,22-23-SPRING-CHMS-5130,22-23-SPRING-CHMS-5130-L1,22-23-SPRING-CHMS-5130-L1-SI,"HALPERT, Jonathan",jhalpert,47,0.638,,0.596,-,3.8,3.86,1.06,0.93,4.3,4.32,0.7,0.67
22-23,SPRING,Instructor,SSCI,CHMS,CHMS,5130,L1,22-23-SPRING-CHMS-5130,22-23-SPRING-CHMS-5130-L1,22-23-SPRING-CHMS-5130-L1-SI,"WILLIAMS, Ian Duncan",chwill,47,0.638,,0.596,-,3.8,3.86,1.06,0.93,3.83,3.89,1.09,0.96
22-23,SPRING,Course,SSCI,CHMS,CHMS,5140,-,22-23-SPRING-CHMS-5140,-,-,-,-,-,0.576,,0.545,1,4.68,4.72,0.53,0.45,4.63,4.69,0.63,0.47
