Academic Year,Term,Level of Statistics,School,Dept,Course Group,Course No,Section,Course Code,Section Code,Survey Name,Instructor's Name,Instructor's ITSC,Enrolment,Response Rate,Low Response Rate Indicator,Response Rate (Adjusted),Number of Sections Evaluated,Course Overall - Mean,Course Overall - Mean (Adjusted),Course Overall - SD,Course Overall -  SD (Adjusted),Instructor Overall - Mean,Instructor Overall - Mean (Adjusted),Instructor Overall - SD,Instructor Overall - SD (Adjusted)
19-20,SUMMER,School,SSCI,-,-,-,-,-,-,-,-,-,-,0.276,,-,36,75.3,-,22.7,-,77,-,24.7,-
19-20,SUMMER,Dept / Course Group,SSCI,CHEM,-,-,-,-,-,-,-,-,-,0.281,Y,-,1,79.7,-,18.8,-,84.4,-,20.2,-
19-20,SUMMER,Dept / Course Group,SSCI,LIFS,-,-,-,-,-,-,-,-,-,0.216,,-,2,74.4,-,18.2,-,74.6,-,22.2,-
19-20,SUMMER,Dept / Course Group,SSCI,MATH,-,-,-,-,-,-,-,-,-,0.352,,-,9,75.7,-,23.8,-,75.3,-,27.9,-
19-20,SUMMER,Dept / Course Group,SSCI,OCES,-,-,-,-,-,-,-,-,-,0.241,,-,3,73,-,25.3,-,72.3,-,28.6,-
19-20,SUMMER,Dept / Course Group,SSCI,PHYS,-,-,-,-,-,-,-,-,-,0.34,,-,18,69.5,-,24.8,-,76.6,-,22.5,-
19-20,SUMMER,Dept / Course Group,SSCI,MAFS,-,-,-,-,-,-,-,-,-,0.404,,-,3,92.9,-,12.5,-,94.6,-,11.7,-
19-20,SUMMER,Course,SSCI,CHEM,CHEM,1002,-,19-20-SUMMER-CHEM-1002,-,-,-,-,-,0.281,Y,-,1,79.7,-,18.8,-,84.4,-,20.2,-
19-20,SUMMER,Section,SSCI,CHEM,CHEM,1002,L1,19-20-SUMMER-CHEM-1002,19-20-SUMMER-CHEM-1002-L1,-,-,-,57,0.281,Y,-,-,79.7,-,18.8,-,84.4,-,20.2,-
19-20,SUMMER,Instructor,SSCI,CHEM,CHEM,1002,L1,19-20-SUMMER-CHEM-1002,19-20-SUMMER-CHEM-1002-L1,19-20-SUMMER-CHEM-1002-L1-SI,"CHAN, Ho Wai",chanhw,57,0.281,Y,0.246,-,79.7,82.1,18.8,11.7,84.4,87.5,20.2,13
