Academic Year,Term,Level of Statistics,School,Dept,Course Group,Course No,Section,Course Code,Section Code,Survey Name,Instructor's Name,Instructor's ITSC,Enrolment,Response Rate,Low Response Rate Indicator,Response Rate (Adjusted),Number of Sections Evaluated,Course Overall - Mean,Course Overall - Mean (Adjusted),Course Overall - SD,Course Overall -  SD (Adjusted),Instructor Overall - Mean,Instructor Overall - Mean (Adjusted),Instructor Overall - SD,Instructor Overall - SD (Adjusted)
17-18,FALL,School,SSCI,-,-,-,-,-,-,-,-,-,-,0.498,,-,213,71.2,-,24.9,-,73.7,-,25.2,-
17-18,FALL,Dept / Course Group,SSCI,CHMS,-,-,-,-,-,-,-,-,-,0.588,,-,4,90.1,-,14.8,-,92.4,-,13.7,-
17-18,FALL,Dept / Course Group,SSCI,CHEM,-,-,-,-,-,-,-,-,-,0.559,,-,19,70.7,-,25,-,73.7,-,25.5,-
17-18,FALL,Dept / Course Group,SSCI,ENTR-SSCI,-,-,-,-,-,-,-,-,-,0.674,,-,2,87.9,-,15.8,-,92,-,11.9,-
17-18,FALL,Dept / Course Group,SSCI,ENVS,-,-,-,-,-,-,-,-,-,0.499,,-,8,78.7,-,21,-,80.8,-,22.4,-
17-18,FALL,Dept / Course Group,SSCI,LIFS,-,-,-,-,-,-,-,-,-,0.424,,-,28,71.7,-,23.3,-,73.7,-,24.4,-
17-18,FALL,Dept / Course Group,SSCI,MAED,-,-,-,-,-,-,-,-,-,0.758,,-,5,85.9,-,18.4,-,92.4,-,14.4,-
17-18,FALL,Dept / Course Group,SSCI,MATH,-,-,-,-,-,-,-,-,-,0.542,,-,79,68.1,-,25.7,-,71.9,-,26,-
17-18,FALL,Dept / Course Group,SSCI,NANO,-,-,-,-,-,-,-,-,-,0.682,,-,2,88.3,-,16,-,95,-,10.4,-
17-18,FALL,Dept / Course Group,SSCI,PHYS,-,-,-,-,-,-,-,-,-,0.547,,-,52,66.8,-,25.9,-,69.7,-,25.1,-
17-18,FALL,Dept / Course Group,SSCI,SCIE,-,-,-,-,-,-,-,-,-,0.585,,-,4,68.4,-,27.6,-,74.2,-,26.3,-
17-18,FALL,Dept / Course Group,SSCI,CSIC,-,-,-,-,-,-,-,-,-,0.8,,-,1,91.3,-,14.7,-,93.8,-,11.1,-
17-18,FALL,Dept / Course Group,SSCI,MAFS,-,-,-,-,-,-,-,-,-,0.483,,-,10,93.4,-,14.1,-,94.9,-,12.9,-
17-18,FALL,Course,SSCI,CHMS,CHMS,5010,-,17-18-FALL-CHMS-5010,-,-,-,-,-,0.588,,-,1,89.2,-,14.8,-,91.7,-,13.6,-
17-18,FALL,Section,SSCI,CHMS,CHMS,5010,L1,17-18-FALL-CHMS-5010,17-18-FALL-CHMS-5010-L1,-,-,-,51,0.588,,-,-,89.2,-,14.8,-,91.7,-,13.6,-
17-18,FALL,Instructor,SSCI,CHMS,CHMS,5010,L1,17-18-FALL-CHMS-5010,17-18-FALL-CHMS-5010-L1,17-18-FALL-CHMS-5010-L1-SI1,"GRIFFITH,Stephen Miles",stegriff,51,0.608,,0.569,-,88.7,89.7,14.2,12.5,92.7,93.1,11.5,11.4
17-18,FALL,Instructor,SSCI,CHMS,CHMS,5010,L1,17-18-FALL-CHMS-5010,17-18-FALL-CHMS-5010-L1,17-18-FALL-CHMS-5010-L1-SI2,"YU, Jianzhen",chjianyu,51,0.569,,0.529,-,89.7,90.7,15.7,14.1,90.5,91.7,15.5,13.9
17-18,FALL,Course,SSCI,CHMS,CHMS,5020,-,17-18-FALL-CHMS-5020,-,-,-,-,-,0.6,,0.55,1,91.7,93.2,15.9,13.8,96.9,97.7,8.4,7.4
17-18,FALL,Section,SSCI,CHMS,CHMS,5020,L1,17-18-FALL-CHMS-5020,17-18-FALL-CHMS-5020-L1,-,-,-,40,0.6,,0.55,-,91.7,93.2,15.9,13.8,96.9,97.7,8.4,7.4
17-18,FALL,Instructor,SSCI,CHMS,CHMS,5020,L1,17-18-FALL-CHMS-5020,17-18-FALL-CHMS-5020-L1,17-18-FALL-CHMS-5020-L1-SI,"WILLIAMS, Ian Duncan",chwill,40,0.6,,0.55,-,91.7,93.2,15.9,13.8,96.9,97.7,8.4,7.4
17-18,FALL,Course,SSCI,CHMS,CHMS,5030,-,17-18-FALL-CHMS-5030,-,-,-,-,-,0.622,,0.568,1,95.7,96.4,9.7,9,97.8,98.8,7.2,5.5
17-18,FALL,Section,SSCI,CHMS,CHMS,5030,L1,17-18-FALL-CHMS-5030,17-18-FALL-CHMS-5030-L1,-,-,-,37,0.622,,0.568,-,95.7,96.4,9.7,9,97.8,98.8,7.2,5.5
17-18,FALL,Instructor,SSCI,CHMS,CHMS,5030,L1,17-18-FALL-CHMS-5030,17-18-FALL-CHMS-5030-L1,17-18-FALL-CHMS-5030-L1-SI,"TONG, Rongbiao",rtong,37,0.622,,0.568,-,95.7,96.4,9.7,9,97.8,98.8,7.2,5.5
17-18,FALL,Course,SSCI,CHMS,CHMS,5040,-,17-18-FALL-CHMS-5040,-,-,-,-,-,0.57,,-,1,88.2,-,15.7,-,89,-,16.4,-
17-18,FALL,Section,SSCI,CHMS,CHMS,5040,L1,17-18-FALL-CHMS-5040,17-18-FALL-CHMS-5040-L1,-,-,-,50,0.57,,-,-,88.2,-,15.7,-,89,-,16.4,-
17-18,FALL,Instructor,SSCI,CHMS,CHMS,5040,L1,17-18-FALL-CHMS-5040,17-18-FALL-CHMS-5040-L1,17-18-FALL-CHMS-5040-L1-SI1,"CHAN, Simon Wan",chanwan,50,0.58,,0.54,-,87.9,88.9,15.8,14.4,90.5,91.7,15.5,13.9
17-18,FALL,Instructor,SSCI,CHMS,CHMS,5040,L1,17-18-FALL-CHMS-5040,17-18-FALL-CHMS-5040-L1,17-18-FALL-CHMS-5040-L1-SI2,"WU, Hongkai",chhkwu,50,0.56,,0.52,-,88.4,89.4,15.9,14.4,87.5,88.5,17.3,16.2
17-18,FALL,Course,SSCI,CHEM,CHEM,1004,-,17-18-FALL-CHEM-1004,-,-,-,-,-,0.665,,0.64,1,80.2,81.1,22.1,20.2,85.5,86.1,17.7,16.5
17-18,FALL,Section,SSCI,CHEM,CHEM,1004,L1,17-18-FALL-CHEM-1004,17-18-FALL-CHEM-1004-L1,-,-,-,330,0.665,,0.64,-,80.2,81.1,22.1,20.2,85.5,86.1,17.7,16.5
17-18,FALL,Instructor,SSCI,CHEM,CHEM,1004,L1,17-18-FALL-CHEM-1004,17-18-FALL-CHEM-1004-L1,17-18-FALL-CHEM-1004-L1-SI,"CHAN, Kwan Kit Jason",kkjchan,330,0.665,,0.64,-,80.2,81.1,22.1,20.2,85.5,86.1,17.7,16.5
17-18,FALL,Course,SSCI,CHEM,CHEM,1010,-,17-18-FALL-CHEM-1010,-,-,-,-,-,0.627,,0.597,1,69,70,25.8,23.5,78,79.4,26.6,23.9
17-18,FALL,Section,SSCI,CHEM,CHEM,1010,L1,17-18-FALL-CHEM-1010,17-18-FALL-CHEM-1010-L1,-,-,-,67,0.627,,0.597,-,69,70,25.8,23.5,78,79.4,26.6,23.9
17-18,FALL,Instructor,SSCI,CHEM,CHEM,1010,L1,17-18-FALL-CHEM-1010,17-18-FALL-CHEM-1010-L1,17-18-FALL-CHEM-1010-L1-SI,"TSANG, Ming Wai Emily",chetsang,67,0.627,,0.597,-,69,70,25.8,23.5,78,79.4,26.6,23.9
17-18,FALL,Course,SSCI,CHEM,CHEM,1020,-,17-18-FALL-CHEM-1020,-,-,-,-,-,0.689,,0.663,1,63.9,64.5,22.5,20.5,62.8,63.3,24.1,22.4
17-18,FALL,Section,SSCI,CHEM,CHEM,1020,L1,17-18-FALL-CHEM-1020,17-18-FALL-CHEM-1020-L1,-,-,-,395,0.689,,0.663,-,63.9,64.5,22.5,20.5,62.8,63.3,24.1,22.4
17-18,FALL,Instructor,SSCI,CHEM,CHEM,1020,L1,17-18-FALL-CHEM-1020,17-18-FALL-CHEM-1020-L1,17-18-FALL-CHEM-1020-L1-SI,"JIA, Guocheng",chjiag,395,0.689,,0.663,-,63.9,64.5,22.5,20.5,62.8,63.3,24.1,22.4
17-18,FALL,Course,SSCI,CHEM,CHEM,2110,-,17-18-FALL-CHEM-2110,-,-,-,-,-,0.365,,0.354,1,51.9,52,28.5,27.6,53.1,53.2,31.7,30.9
17-18,FALL,Section,SSCI,CHEM,CHEM,2110,L1,17-18-FALL-CHEM-2110,17-18-FALL-CHEM-2110-L1,-,-,-,181,0.365,,0.354,-,51.9,52,28.5,27.6,53.1,53.2,31.7,30.9
17-18,FALL,Instructor,SSCI,CHEM,CHEM,2110,L1,17-18-FALL-CHEM-2110,17-18-FALL-CHEM-2110-L1,17-18-FALL-CHEM-2110-L1-SI,"TONG, Rongbiao",rtong,181,0.365,,0.354,-,51.9,52,28.5,27.6,53.1,53.2,31.7,30.9
17-18,FALL,Course,SSCI,CHEM,CHEM,2210,-,17-18-FALL-CHEM-2210,-,-,-,-,-,0.433,,0.411,1,80.8,81.8,20.2,18.3,87.2,88.5,18,15.1
17-18,FALL,Section,SSCI,CHEM,CHEM,2210,L1,17-18-FALL-CHEM-2210,17-18-FALL-CHEM-2210-L1,-,-,-,90,0.433,,0.411,-,80.8,81.8,20.2,18.3,87.2,88.5,18,15.1
17-18,FALL,Instructor,SSCI,CHEM,CHEM,2210,L1,17-18-FALL-CHEM-2210,17-18-FALL-CHEM-2210-L1,17-18-FALL-CHEM-2210-L1-SI,"LEUNG, Wa Hung",chleung,90,0.433,,0.411,-,80.8,81.8,20.2,18.3,87.2,88.5,18,15.1
17-18,FALL,Course,SSCI,CHEM,CHEM,2310,-,17-18-FALL-CHEM-2310,-,-,-,-,-,0.467,,0.446,1,67.4,67.7,19.3,17.9,68.6,68.9,19.7,18.4
17-18,FALL,Section,SSCI,CHEM,CHEM,2310,L1,17-18-FALL-CHEM-2310,17-18-FALL-CHEM-2310-L1,-,-,-,92,0.467,,0.446,-,67.4,67.7,19.3,17.9,68.6,68.9,19.7,18.4
17-18,FALL,Instructor,SSCI,CHEM,CHEM,2310,L1,17-18-FALL-CHEM-2310,17-18-FALL-CHEM-2310-L1,17-18-FALL-CHEM-2310-L1-SI,"CHAN, Simon Wan",chanwan,92,0.467,,0.446,-,67.4,67.7,19.3,17.9,68.6,68.9,19.7,18.4
17-18,FALL,Course,SSCI,CHEM,CHEM,2410,-,17-18-FALL-CHEM-2410,-,-,-,-,-,0.469,,0.448,1,56.7,57,25.2,23.4,67,67.9,22.7,20.1
17-18,FALL,Section,SSCI,CHEM,CHEM,2410,L1,17-18-FALL-CHEM-2410,17-18-FALL-CHEM-2410-L1,-,-,-,96,0.469,,0.448,-,56.7,57,25.2,23.4,67,67.9,22.7,20.1
17-18,FALL,Instructor,SSCI,CHEM,CHEM,2410,L1,17-18-FALL-CHEM-2410,17-18-FALL-CHEM-2410-L1,17-18-FALL-CHEM-2410-L1-SI,"YANG, Shihe",chsyang,96,0.469,,0.448,-,56.7,57,25.2,23.4,67,67.9,22.7,20.1
17-18,FALL,Course,SSCI,CHEM,CHEM,4120,-,17-18-FALL-CHEM-4120,-,-,-,-,-,0.421,Y,0.316,1,75,75,23.1,22.4,81.3,83.3,22.2,20.4
17-18,FALL,Section,SSCI,CHEM,CHEM,4120,L1,17-18-FALL-CHEM-4120,17-18-FALL-CHEM-4120-L1,-,-,-,19,0.421,Y,0.316,-,75,75,23.1,22.4,81.3,83.3,22.2,20.4
17-18,FALL,Instructor,SSCI,CHEM,CHEM,4120,L1,17-18-FALL-CHEM-4120,17-18-FALL-CHEM-4120-L1,17-18-FALL-CHEM-4120-L1-SI,"GUO, Zhihong",chguo,19,0.421,Y,0.316,-,75,75,23.1,22.4,81.3,83.3,22.2,20.4
17-18,FALL,Course,SSCI,CHEM,CHEM,4140,-,17-18-FALL-CHEM-4140,-,-,-,-,-,0.714,Y,0.571,1,90,93.8,17.5,11.6,92.5,96.9,16.9,8.8
17-18,FALL,Section,SSCI,CHEM,CHEM,4140,L1,17-18-FALL-CHEM-4140,17-18-FALL-CHEM-4140-L1,-,-,-,14,0.714,Y,0.571,-,90,93.8,17.5,11.6,92.5,96.9,16.9,8.8
17-18,FALL,Instructor,SSCI,CHEM,CHEM,4140,L1,17-18-FALL-CHEM-4140,17-18-FALL-CHEM-4140-L1,17-18-FALL-CHEM-4140-L1-SI,"DAI, Wei Min",chdai,14,0.714,Y,0.571,-,90,93.8,17.5,11.6,92.5,96.9,16.9,8.8
17-18,FALL,Course,SSCI,CHEM,CHEM,4320,-,17-18-FALL-CHEM-4320,-,-,-,-,-,0.455,,0.418,1,59,59.8,23.8,19.6,59,59.8,26.9,23.5
17-18,FALL,Section,SSCI,CHEM,CHEM,4320,L1,17-18-FALL-CHEM-4320,17-18-FALL-CHEM-4320-L1,-,-,-,55,0.455,,0.418,-,59,59.8,23.8,19.6,59,59.8,26.9,23.5
17-18,FALL,Instructor,SSCI,CHEM,CHEM,4320,L1,17-18-FALL-CHEM-4320,17-18-FALL-CHEM-4320-L1,17-18-FALL-CHEM-4320-L1-SI,"NAGL, Stefan",chnagl,55,0.455,,0.418,-,59,59.8,23.8,19.6,59,59.8,26.9,23.5
17-18,FALL,Course,SSCI,CHEM,CHEM,4340,-,17-18-FALL-CHEM-4340,-,-,-,-,-,0.412,Y,0.294,1,89.3,90,13.4,13.7,85.7,85,13.4,13.7
17-18,FALL,Section,SSCI,CHEM,CHEM,4340,L1,17-18-FALL-CHEM-4340,17-18-FALL-CHEM-4340-L1,-,-,-,17,0.412,Y,0.294,-,89.3,90,13.4,13.7,85.7,85,13.4,13.7
