Academic Year,Term,Level of Statistics,School,Dept,Course Group,Course No,Section,Course Code,Section Code,Survey Name,Instructor's Name,Instructor's ITSC,Enrolment,Response Rate,Low Response Rate Indicator,Response Rate (Adjusted),Number of Sections Evaluated,Course Overall - Mean,Course Overall - Mean (Adjusted),Course Overall - SD,Course Overall -  SD (Adjusted),Instructor Overall - Mean,Instructor Overall - Mean (Adjusted),Instructor Overall - SD,Instructor Overall - SD (Adjusted)
22-23,FALL,School,SSCI,-,-,-,-,-,-,-,-,-,-,0.5,,-,223,3.97,-,0.99,-,4.03,-,0.98,-
22-23,FALL,Dept / Course Group,SSCI,CHMS,-,-,-,-,-,-,-,-,-,0.577,,-,4,4.49,-,0.74,-,4.55,-,0.69,-
22-23,FALL,Dept / Course Group,SSCI,BIBU-SSCI,-,-,-,-,-,-,-,-,-,0.175,Y,-,1,3.0,-,1.15,-,3.14,-,1.07,-
22-23,FALL,Dept / Course Group,SSCI,CHEM,-,-,-,-,-,-,-,-,-,0.535,,-,35,3.91,-,0.92,-,3.97,-,0.91,-
22-23,FALL,Dept / Course Group,SSCI,DASC,-,-,-,-,-,-,-,-,-,0.529,,-,2,4.44,-,0.65,-,4.58,-,0.55,-
22-23,FALL,Dept / Course Group,SSCI,ENTR-SSCI,-,-,-,-,-,-,-,-,-,0.345,Y,-,1,3.95,-,1.19,-,3.95,-,1.23,-
22-23,FALL,Dept / Course Group,SSCI,LIFS,-,-,-,-,-,-,-,-,-,0.48,,-,23,4.04,-,0.88,-,4.07,-,0.9,-
22-23,FALL,Dept / Course Group,SSCI,MAED,-,-,-,-,-,-,-,-,-,0.809,,-,6,4.56,-,0.69,-,4.59,-,0.68,-
22-23,FALL,Dept / Course Group,SSCI,MSDM,-,-,-,-,-,-,-,-,-,0.457,,-,6,4.46,-,0.91,-,4.52,-,0.75,-
22-23,FALL,Dept / Course Group,SSCI,MATH,-,-,-,-,-,-,-,-,-,0.498,,-,81,3.75,-,1.1,-,3.8,-,1.11,-
22-23,FALL,Dept / Course Group,SSCI,NANO,-,-,-,-,-,-,-,-,-,0.5,Y,-,1,5.0,-,0.0,-,5.0,-,0.0,-
22-23,FALL,Dept / Course Group,SSCI,OCES,-,-,-,-,-,-,-,-,-,0.442,,-,15,4.08,-,0.85,-,4.11,-,0.84,-
22-23,FALL,Dept / Course Group,SSCI,PHYS,-,-,-,-,-,-,-,-,-,0.528,,-,37,3.83,-,1.03,-,3.99,-,0.98,-
22-23,FALL,Dept / Course Group,SSCI,SCIE,-,-,-,-,-,-,-,-,-,0.331,Y,-,2,4.31,-,0.69,-,4.31,-,0.69,-
22-23,FALL,Dept / Course Group,SSCI,MAFS,-,-,-,-,-,-,-,-,-,0.442,,-,9,4.62,-,0.66,-,4.6,-,0.73,-
